"species","genus"
"Aromatoleum anaerobium strain LuFRes1 fsa aa","Aromatoleum"
"Aromatoleum aromaticum EbN1T","Aromatoleum"
"Aromatoleum aromaticum strain pCyN1 fsa aa","Aromatoleum"
"Aromatoleum bremense PbN1T fsa aa","Aromatoleum"
"Aromatoleum buckelii U120T fsa aa","Aromatoleum"
"Aromatoleum diolicum 22Lin2T fsa aa","Aromatoleum"
"Aromatoleum evansii KB740T fsa aa","Aromatoleum"
"Aromatoleum petrolei Ton1T fsa aa","Aromatoleum"
"Aromatoleum sp. CIB","Aromatoleum"
"Aromatoleum sp. DN11","Aromatoleum"
"Aromatoleum sp. PA01","Aromatoleum"
"Aromatoleum toluclasticum MF63T","Aromatoleum"
"Aromatoleum tolulyticum Tol-4T","Aromatoleum"
"Aromatoleum toluolicum T fsa aa","Aromatoleum"
"Aromatoleum toluvorans Td21T fsa aa","Aromatoleum"
"Azoarcus communis LMG5514 fsa aa","Azoarcus"
"Azoarcus communis SWub3T fsa aa","Azoarcus"
"Azoarcus communis SWub3T","Azoarcus"
"Azoarcus indigens TTM-91 fsa aa","Azoarcus"
"Azoarcus indigens VB32T fsa aa","Azoarcus"
"Azoarcus indigens VB32T","Azoarcus"
"Azoarcus olearius BH72","Azoarcus"
"Azoarcus olearius DQS-4T","Azoarcus"
"Azoarcus pumilus SY39T","Azoarcus"
"Azoarcus sp. BM101 fsa aa","Azoarcus"
"Azoarcus sp. CC-YHH838","Azoarcus"
"Azoarcus sp. CC-YHH848 2","Azoarcus"
"Azoarcus sp. DD4","Azoarcus"
"Azoarcus sp. KH32C","Azoarcus"
"Azoarcus sp. TSNA42","Azoarcus"
"Azoarcus sp. TSPY31","Azoarcus"
"Azoarcus taiwanensis NSC3T fsa aa","Azoarcus"
"Azospira  sp. I09","Azospira"
"Azospira  sp. I13","Azospira"
"Azospira oryzae DSM 21223","Azospira"
"Azospira oryzae PS","Azospira"
"Dechloromonas  sp. CZR5","Dechloromonas"
"Dechloromonas  sp. Dech2017","Dechloromonas"
"Dechloromonas  sp. H13","Dechloromonas"
"Dechloromonas  sp. HYN0024","Dechloromonas"
"Dechloromonas agitata is5","Dechloromonas"
"Dechloromonas aromatica RCB","Dechloromonas"
"Dechloromonas denitrificans ATCC BAA-841","Dechloromonas"
"Dechloromonas hortensis MA-1","Dechloromonas"
"Rhodocyclus tenuis DSM109T","Rhodocyclus"
"Rubrivivax galatinosus CBS ","Rubrivivax"
"Thauera  sp. 27","Thauera"
"Thauera  sp. 28","Thauera"
"Thauera  sp. 63","Thauera"
"Thauera  sp. D20","Thauera"
"Thauera  sp. K11","Thauera"
"Thauera  sp. SWB20","Thauera"
"Thauera  sp. UPWRP","Thauera"
"Thauera aminoaromatica S2","Thauera"
"Thauera aromatica K172","Thauera"
"Thauera butanivorans NBRC 103042","Thauera"
"Thauera chlorobenzoica 3CB1","Thauera"
"Thauera humireducens SgZ-1","Thauera"
"Thauera hydrothermalis GD-2","Thauera"
"Thauera linaloolentis 47Lol 2","Thauera"
"Thauera linaloolentis 47Lol","Thauera"
"Thauera phenolivorans ZV1C","Thauera"
"Thauera phenylacetica B4P","Thauera"
"Thauera propionica KNDSS-Mac4","Thauera"
"Thauera sp. MZ1T","Thauera"
"Thauera terpenica 58Eu","Thauera"
"Zoogloea ramigera NBRC 15342 ","Zoogloea"
